Zip-Code; Neighborhood; Street; Latitude; Longitude; FloodQuota
89036-839; Velha; Rua Marta Birr
89045-687; Velha; Rua Nirval de Souza
89036-070; Velha; Rua Professor Luiz Schwartz
89045-685; Velha; Rua Sao Quito
89046-015; Velha central; Loteamento Manarim
89046-569; Velha central; Rua Ademir Tomaz
89046-030; Velha central; Rua Alberto Lobe
89045-443; Velha central; Rua Alwin Kroenkel
89046-069; Velha central; Rua Bernardo Geske
89046-573; Velha central; Rua Conceicao Pedro Vailon
89046-211; Velha central; Rua Francisco Babel
89046-094; Velha central; Rua Guilherme Bublitz
89046-561; Velha central; Rua Isabel de Souza Marciano
89046-441; Velha central; Rua Jardim Botanico
89046-664; Velha central; Rua Jose Kienen
89046-020; Velha central; Rua Lucie Herkenhoff
89046-563; Velha central; Rua Osni Rosa
89046-025; Velha central; Rua Walter Vogelbacher
89045-355; Velha central; Rua Wanda Bachmann
89045-705; Velha grande; Rua Anna Muller
89045-683; Velha grande; Rua Erich Wilhelm Muller
89045-681; Velha grande; Rua Fernando Buss
89045-515; Velha grande; Rua Genesio de Oliveira
89045-447; Velha grande; Rua Hermann Gebien
89045-625; Velha grande; Rua Lori Erno Hoffmann
89046-686; Velha grande; Rua Maria Francisca da Cunha
89045-735; Velha grande; Rua Maria Pinheiro da Silva
89045-580; Velha grande; Rua Maurino Jose Zeferino
89045-682; Velha grande; Rua Tres Vizinhos
89012-175; Victor konder; Praca Doutor Fritz Mueller
89012-081; Victor konder; Praca Ralf Fuhrmann
89023-012; Vila formosa; Rua Henrique Antonio Cavilha
89075-462; Vila itoupava; Largo Intendencia
89075-352; Vila itoupava; Praca Doutor Alfredo Hoess
89075-432; Vila itoupava; Praca Johanna Konrad
89075-472; Vila itoupava; Praca Klaus Feldmann
89075-283; Vila itoupava; Rua Alfred Feldmann
89075-555; Vila itoupava; Rua Alvim Flohr
89075-430; Vila itoupava; Rua Arthur Ziehlsdorf
89075-265; Vila itoupava; Rua Erwin Eichstadt
89075-320; Vila itoupava; Rua Erwin Jurk
89075-565; Vila itoupava; Rua Friedrich Falk
89075-562; Vila itoupava; Rua Guinda Bohmann
89075-655; Vila itoupava; Rua Gustavo Ruedger
89075-325; Vila itoupava; Rua Ida Passold
89075-330; Vila itoupava; Rua Oskar Jurk
89075-450; Vila itoupava; Rua Wolfgang Blank
89035-580; Vila nova; Praca Arno Bernardes
89035-005; Vila nova; Praca do Estudante
89035-672; Vila nova; Rua Expedicionario Joaquim Boos
89012-580; Vila nova; Rua General Arthur Koehler
89035-212; Vila nova; Rua General Arthur Koehler
89035-125; Vila nova; Rua Germano Vanzuit
89035-058; Vila nova; Rua Johann Lafin
89012-530; Vila nova; Rua Luiz Sachleben
89035-290; Vila nova; Rua Victor A dos Santos
89035-405; Vila nova; Rua Wenceslau Kugik
89015-450; Vorstadt; Alameda Roberto Grossembacher
89015-251; Vorstadt; Praca Joao Vieira
89015-575; Vorstadt; Praca Johan Peter Wagner
89015-542; Vorstadt; Praca Josil Sebastiao Olinger
89015-451; Vorstadt; Praca Professor Max Kreibich
89015-258; Vorstadt; Praca Walmor Barbieri
89015-405; Vorstadt; Rua Adolfo Schmalz
89015-254; Vorstadt; Rua Antonio de Moura
89015-440; Vorstadt; Rua Doutor Celso Leon Salles
89015-225; Vorstadt; Rua Marcos Azeredo Coutinho
